CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,16400,1,1,4,-,706.18,12.49,1.92,48.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,16400,1,1,16,-,613.74,14.37,2.21,13.81
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,16384,1,1,4,-,698.78,12.59,1.95,48.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-cannon,16384,1,1,16,-,607.88,14.47,2.24,14.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,4096,1,1,4,-,9.28,14.81,2.12,53.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,4096,1,1,16,-,8.91,15.42,2.21,13.81
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,4100,1,1,4,-,9.43,14.62,2.01,50.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,4100,1,1,16,-,9.04,15.25,2.1,13.12
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,8192,1,1,4,-,89.46,12.29,1.9,47.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,8192,1,1,16,-,75.66,14.53,2.25,14.06
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,8200,1,1,4,-,84.64,13.03,1.8,45.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,8200,1,1,16,-,75.55,14.6,2.02,12.62
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,12288,1,1,4,-,316.88,11.71,1.8,45.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,12288,1,1,16,-,243.74,15.22,2.34,14.62
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,12300,1,1,4,-,297.92,12.49,1.92,48.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,12300,1,1,16,-,245.3,15.17,2.33,14.56
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,16400,1,1,4,-,775.37,11.38,1.75,43.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,16400,1,1,16,-,616.03,14.32,2.2,13.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,16384,1,1,4,-,727.98,12.08,1.87,46.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,mpi-summa,16384,1,1,16,-,612.97,14.35,2.22,13.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4096,1,1,4,64,0.8,171.16,24.52,613.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4096,1,1,8,64,0.48,287.53,41.19,514.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4096,1,1,16,64,0.45,306.1,43.85,274.06
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4096,1,1,24,64,0.46,302.06,43.27,180.29
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4100,1,1,4,64,0.7,195.52,26.9,672.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4100,1,1,8,64,0.47,290.81,40.0,500.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4100,1,1,16,64,0.45,305.64,42.04,262.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,4100,1,1,24,64,0.44,313.28,43.1,179.58
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8192,1,1,4,64,5.68,193.51,29.96,749.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8192,1,1,8,64,3.63,303.23,46.95,586.88
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8192,1,1,16,64,3.35,328.21,50.82,317.62
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8192,1,1,24,64,3.44,319.9,49.53,206.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8200,1,1,4,64,5.46,201.82,27.95,698.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8200,1,1,8,64,3.67,300.23,41.58,519.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8200,1,1,16,64,3.49,315.7,43.72,273.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,8200,1,1,24,64,3.35,329.27,45.6,190.0
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12288,1,1,4,64,19.23,192.99,29.62,740.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12288,1,1,8,64,13.03,284.79,43.7,546.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12288,1,1,16,64,10.77,344.43,52.85,330.31
