CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,12300,0,0,1,-,99.17,37.53,7.71
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,12300,1,1,1,-,61.68,60.34,12.4
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,16384,0,0,1,-,392.25,22.42,3.47
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,16384,1,1,1,-,321.69,27.34,4.23
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,16400,0,0,1,-,245.36,35.95,7.39
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-ikj,16400,1,1,1,-,184.35,47.86,9.83
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,4096,1,1,1,-,4.41,31.18,4.47
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,4100,1,1,1,-,2.96,46.63,9.16
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,8192,1,1,1,-,38.83,28.32,4.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,8200,1,1,1,-,19.89,55.45,11.39
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,12288,1,1,1,-,123.44,30.06,4.61
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,12300,1,1,1,-,64.96,57.29,11.77
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,16384,1,1,1,-,318.1,27.65,4.28
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-pad,16400,1,1,1,-,167.62,52.63,10.81
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4096,1,1,1,16,3.45,39.83,5.7
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4096,1,1,1,32,4.93,27.86,3.99
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4096,1,1,1,64,11.91,11.54,1.65
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4096,1,1,1,128,11.24,12.22,1.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4100,1,1,1,16,3.96,34.83,6.84
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4100,1,1,1,32,3.82,36.06,7.08
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4100,1,1,1,64,4.57,30.14,5.92
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,4100,1,1,1,128,6.62,20.81,4.09
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8192,1,1,1,16,32.7,33.63,5.21
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8192,1,1,1,32,93.49,11.76,1.82
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8192,1,1,1,64,134.19,8.19,1.27
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8192,1,1,1,128,87.56,12.56,1.94
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8200,1,1,1,16,33.12,33.3,6.84
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8200,1,1,1,32,30.57,36.08,7.41
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8200,1,1,1,64,28.81,38.27,7.86
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,8200,1,1,1,128,48.06,22.94,4.71
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12288,1,1,1,16,98.2,37.79,5.8
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12288,1,1,1,32,132.69,27.97,4.29
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12288,1,1,1,64,321.24,11.55,1.77
